Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2016	cAMP signaling pathway Homo sapiens hsa04024	17/199	1.009873e-03	2.268922e-02	0	0	2.507921e+00	1.729947e+01	CAMK2B;MAP2K1;CAMK2A;HTR1B;CALML3;NFATC1;ADCY1;HTR4;ADCY6;RELA;GRIN2D;HTR6;PIK3CA;CREB3L1;PLCE1;EP300;SOX9
KEGG_2016	Osteoclast differentiation Homo sapiens hsa04380	13/132	1.067728e-03	2.268922e-02	0	0	2.926356e+00	2.002278e+01	CSF1R;MAP2K1;NCF1;NFATC1;LILRB3;TNF;RELA;SOCS3;IL1A;MAPK11;PIK3CA;MAP2K7;FCGR2B
KEGG_2016	Neuroactive ligand-receptor interaction Homo sapiens hsa04080	21/277	1.291533e-03	2.533391e-02	0	0	2.206374e+00	1.467663e+01	GRIK5;P2RY14;CHRNA6;SCTR;TACR3;HTR1B;HTR2C;GPR50;HTR4;SSTR3;GRM1;ADRA2A;GRIN2D;BRS3;P2RX7;HTR6;MC1R;MTNR1B;ADORA2B;F2RL2;NTSR2
KEGG_2016	Prostate cancer Homo sapiens hsa05215	10/89	1.461323e-03	2.646108e-02	0	0	3.383696e+00	2.209016e+01	CDKN1A;MAP2K1;PIK3CA;CREB3L1;CDK2;BCL2;MDM2;EP300;KLK3;RELA
KEGG_2016	Pertussis Homo sapiens hsa05133	9/75	1.567905e-03	2.646108e-02	0	0	3.642559e+00	2.352370e+01	C1QB;IL1A;MAPK11;ITGAM;CFL1;LY96;CALML3;TNF;RELA
KEGG_2016	Toll-like receptor signaling pathway Homo sapiens hsa04620	11/106	1.660303e-03	2.646108e-02	0	0	3.096924e+00	1.982265e+01	IFNA4;MAPK11;MAP2K1;IFNA1;PIK3CA;LY96;IRF5;MAP2K7;TNF;IKBKE;RELA
KEGG_2016	Inflammatory bowel disease (IBD) Homo sapiens hsa05321	8/65	2.397511e-03	3.596266e-02	0	0	3.745614e+00	2.259850e+01	IL4;IL1A;HLA-DMB;STAT4;STAT6;NFATC1;TNF;RELA
KEGG_2016	Long-term potentiation Homo sapiens hsa04720	8/66	2.643053e-03	3.744325e-02	0	0	3.680843e+00	2.184882e+01	CAMK2B;MAP2K1;CAMK2A;EP300;CALML3;ADCY1;GRM1;GRIN2D
KEGG_2016	p53 signaling pathway Homo sapiens hsa04115	8/69	3.498958e-03	4.548411e-02	0	0	3.499271e+00	1.978939e+01	CDKN1A;CDK2;MDM2;FAS;BAX;PPM1D;BBC3;DDB2
KEGG_2016	Chemokine signaling pathway Homo sapiens hsa04062	15/187	3.572451e-03	4.548411e-02	0	0	2.336182e+00	1.316322e+01	CCL13;MAP2K1;NCF1;CCL21;SRC;CXCL1;ADCY1;RELA;ADCY6;PIK3CA;GNG5;GNB1;CCR8;JAK3;CCR2
KEGG_2016	AGE-RAGE signaling pathway in diabetic complications Homo sapiens hsa04933	10/101	3.745750e-03	4.548411e-02	0	0	2.935658e+00	1.640191e+01	IL1A;MAPK11;PIK3CA;BCL2;PLCE1;BAX;NFATC1;TNF;F3;RELA
KEGG_2016	Measles Homo sapiens hsa05162	12/136	4.093930e-03	4.712100e-02	0	0	2.588034e+00	1.422966e+01	IL4;IFNA4;IL1A;IFNA1;PIK3CA;CDK2;FAS;FCGR2B;JAK3;IKBKE;RELA;BBC3
KEGG_2016	HIF-1 signaling pathway Homo sapiens hsa04066	10/103	4.312229e-03	4.712100e-02	0	0	2.872226e+00	1.564300e+01	CAMK2B;MAP2K1;CDKN1A;PIK3CA;CAMK2A;BCL2;EP300;ENO1;VHL;RELA
KEGG_2016	Prolactin signaling pathway Homo sapiens hsa04917	8/72	4.555301e-03	4.712100e-02	0	0	3.334722e+00	1.797903e+01	SOCS3;MAPK11;MAP2K1;PIK3CA;SRC;ESR1;RELA;ESR2
KEGG_2016	T cell receptor signaling pathway Homo sapiens hsa04660	10/104	4.619706e-03	4.712100e-02	0	0	2.841522e+00	1.528007e+01	IL4;MAPK11;MAP2K1;CD4;PIK3CA;NFATC1;MAP2K7;TNF;LAT;RELA
KEGG_2016	Leishmaniasis Homo sapiens hsa05140	8/73	4.956889e-03	4.861564e-02	0	0	3.283248e+00	1.742412e+01	IL4;IL1A;MAPK11;ITGAM;HLA-DMB;NCF1;TNF;RELA
KEGG_2016	Oxytocin signaling pathway Homo sapiens hsa04921	13/158	5.208204e-03	4.918860e-02	0	0	2.398370e+00	1.260948e+01	CAMK2B;PRKAB2;MAP2K1;CDKN1A;SRC;CAMK2A;CALML3;NFATC1;ADCY1;ADCY6;GNAO1;CACNB2;PIK3CA
KEGG_2016	GnRH signaling pathway Homo sapiens hsa04912	9/91	5.863285e-03	5.339778e-02	0	0	2.929373e+00	1.505418e+01	CAMK2B;MAPK11;MAP2K1;SRC;CAMK2A;CALML3;ADCY1;MAP2K7;ADCY6
KEGG_2016	Fc gamma R-mediated phagocytosis Homo sapiens hsa04666	9/93	6.751114e-03	5.816939e-02	0	0	2.859328e+00	1.429106e+01	VASP;MAP2K1;NCF1;PIK3CA;MYO10;ARPC1B;CFL1;FCGR2B;LAT
KEGG_2016	TNF signaling pathway Homo sapiens hsa04668	10/110	6.843458e-03	5.816939e-02	0	0	2.670195e+00	1.330949e+01	SOCS3;MAPK11;MAP2K1;PIK3CA;CREB3L1;FAS;CXCL1;MAP2K7;TNF;RELA
KEGG_2016	Proteoglycans in cancer Homo sapiens hsa05205	15/203	7.554231e-03	6.006083e-02	0	0	2.135567e+00	1.043363e+01	CAMK2B;CDKN1A;MAP2K1;CAV3;SRC;CAMK2A;TNF;ESR1;MAPK11;SMO;PIK3CA;MDM2;PLCE1;FAS;EIF4B
KEGG_2016	Serotonergic synapse Homo sapiens hsa04726	10/112	7.744606e-03	6.006083e-02	0	0	2.617565e+00	1.272335e+01	GNAO1;CYP2C9;HTR6;MAP2K1;GNG5;GNB1;HTR1B;HTR2C;HTR4;ALOX15B
KEGG_2016	Complement and coagulation cascades Homo sapiens hsa04610	8/79	7.962621e-03	6.006083e-02	0	0	3.004851e+00	1.452244e+01	C1QB;CPB2;ITGAM;C6;MASP1;F3;KLKB1;F2RL2
KEGG_2016	cGMP-PKG signaling pathway Homo sapiens hsa04022	13/167	8.196594e-03	6.006083e-02	0	0	2.257143e+00	1.084340e+01	VASP;MAP2K1;TRPC6;CALML3;IRS2;NFATC1;ADCY1;ADRA2A;ADCY6;PIK3CA;CREB3L1;PDE5A;MEF2D
KEGG_2016	Prion diseases Homo sapiens hsa05020	5/35	8.275288e-03	6.006083e-02	0	0	4.435685e+00	2.126681e+01	C1QB;IL1A;MAP2K1;C6;BAX
KEGG_2016	Glioma Homo sapiens hsa05214	7/65	9.186563e-03	6.006083e-02	0	0	3.216271e+00	1.508435e+01	CAMK2B;CDKN1A;MAP2K1;PIK3CA;CAMK2A;MDM2;CALML3
KEGG_2016	FoxO signaling pathway Homo sapiens hsa04068	11/133	9.380151e-03	6.006083e-02	0	0	2.408144e+00	1.124401e+01	PLK3;MAPK11;PRKAB2;MAP2K1;CDKN1A;PIK3CA;CDK2;MDM2;EP300;IRS2;GRM1
KEGG_2016	Hepatitis C Homo sapiens hsa05160	11/133	9.380151e-03	6.006083e-02	0	0	2.408144e+00	1.124401e+01	SOCS3;IFNA4;MAPK11;CDKN1A;IFNA1;PIK3CA;CLDN14;CLDN18;TNF;IKBKE;RELA
KEGG_2016	Phosphatidylinositol signaling system Homo sapiens hsa04070	9/98	9.421307e-03	6.006083e-02	0	0	2.697989e+00	1.258553e+01	ITPKB;MTMR1;PIK3CA;PLCE1;CALML3;SYNJ2;CDIPT;MTMR7;CDS2
KEGG_2016	Inflammatory mediator regulation of TRP channels Homo sapiens hsa04750	9/98	9.421307e-03	6.006083e-02	0	0	2.697989e+00	1.258553e+01	CAMK2B;MAPK11;PIK3CA;SRC;CAMK2A;HTR2C;CALML3;ADCY1;ADCY6
KEGG_2016	Rap1 signaling pathway Homo sapiens hsa04015	15/211	1.057703e-02	6.578396e-02	0	0	2.047543e+00	9.314417e+00	VASP;CSF1R;MAP2K1;ITGAM;SRC;CALML3;ADCY1;ADCY6;GNAO1;MAPK11;PARD6B;PIK3CA;ADORA2B;PLCE1;LAT
KEGG_2016	Fc epsilon RI signaling pathway Homo sapiens hsa04664	7/68	1.165737e-02	7.077688e-02	0	0	3.057616e+00	1.361195e+01	IL4;MAPK11;MAP2K1;PIK3CA;MAP2K7;TNF;LAT
KEGG_2016	Neurotrophin signaling pathway Homo sapiens hsa04722	10/120	1.229162e-02	7.289216e-02	0	0	2.426184e+00	1.067239e+01	CAMK2B;MAPK11;MAP2K1;PIK3CA;CAMK2A;BCL2;BAX;CALML3;MAP2K7;RELA
KEGG_2016	Jak-STAT signaling pathway Homo sapiens hsa04630	12/158	1.298909e-02	7.527765e-02	0	0	2.195531e+00	9.536608e+00	IL4;SOCS3;IFNA4;CDKN1A;IFNA1;PIK3CA;BCL2;STAT4;EP300;STAT6;JAK3;IL27RA
KEGG_2016	Inositol phosphate metabolism Homo sapiens hsa00562	7/71	1.457585e-02	8.218550e-02	0	0	2.913835e+00	1.232083e+01	ITPKB;MTMR1;PIK3CA;PLCE1;SYNJ2;CDIPT;MTMR7
KEGG_2016	Cell adhesion molecules (CAMs) Homo sapiens hsa04514	11/142	1.482562e-02	8.218550e-02	0	0	2.241645e+00	9.440461e+00	MAG;CD4;ITGAM;HLA-DMB;CD6;CLDN14;CNTN1;CLDN18;NRCAM;CD226;MADCAM1
KEGG_2016	Phototransduction Homo sapiens hsa04744	4/27	1.569438e-02	8.515035e-02	0	0	4.623829e+00	1.920948e+01	PDE6G;GNB1;GUCA1A;CALML3
KEGG_2016	Acute myeloid leukemia Homo sapiens hsa05221	6/57	1.712307e-02	9.096633e-02	0	0	3.131986e+00	1.273882e+01	MAP2K1;PIK3CA;FLT3;ZBTB16;RELA;PML
KEGG_2016	Herpes simplex infection Homo sapiens hsa05168	13/185	1.808712e-02	9.269959e-02	0	0	2.019027e+00	8.101459e+00	IFNA4;IFNA1;TNF;RELA;PML;SOCS3;NXF1;HLA-DMB;CDK2;EP300;FAS;CLOCK;IKBKE
KEGG_2016	Viral carcinogenesis Homo sapiens hsa05203	14/205	1.817639e-02	9.269959e-02	0	0	1.958834e+00	7.850285e+00	CDKN1A;ACTN3;SRC;GTF2E1;RELA;PIK3CA;CREB3L1;DNAJA3;CDK2;MDM2;CCR8;EP300;BAX;JAK3
KEGG_2016	Dopaminergic synapse Homo sapiens hsa04728	10/129	1.953962e-02	9.609244e-02	0	0	2.241638e+00	8.821541e+00	GNAO1;CAMK2B;MAPK11;GNG5;CREB3L1;GNB1;CAMK2A;PPP2R5B;CALML3;CLOCK
KEGG_2016	Adrenergic signaling in cardiomyocytes Homo sapiens hsa04261	11/148	1.959532e-02	9.609244e-02	0	0	2.142799e+00	8.426481e+00	CAMK2B;CACNB2;MAPK11;PIK3CA;CREB3L1;CAMK2A;BCL2;PPP2R5B;CALML3;ADCY1;ADCY6
KEGG_2016	Longevity regulating pathway - mammal Homo sapiens hsa04211	8/94	2.123749e-02	1.021804e-01	0	0	2.478811e+00	9.548350e+00	PRKAB2;PIK3CA;CREB3L1;BAX;IRS2;ADCY1;RELA;ADCY6
KEGG_2016	Primary bile acid biosynthesis Homo sapiens hsa00120	3/17	2.231163e-02	1.053605e-01	0	0	5.692020e+00	2.164474e+01	CYP27A1;SCP2;CYP7B1
KEGG_2016	PI3K-Akt signaling pathway Homo sapiens hsa04151	20/341	2.526469e-02	1.166080e-01	0	0	1.667723e+00	6.134464e+00	IFNA4;CSF1R;CDKN1A;MAP2K1;IFNA1;ITGB4;PPP2R5B;RELA;IL4;NR4A1;PIK3CA;GNG5;CREB3L1;ITGA10;GNB1;CDK2;MDM2;BCL2;JAK3;EIF4B
KEGG_2016	Natural killer cell mediated cytotoxicity Homo sapiens hsa04650	10/135	2.585632e-02	1.166080e-01	0	0	2.133370e+00	7.797896e+00	IFNA4;NCR2;MAP2K1;NCR3;IFNA1;PIK3CA;FAS;NFATC1;TNF;LAT
KEGG_2016	Other glycan degradation Homo sapiens hsa00511	3/18	2.606531e-02	1.166080e-01	0	0	5.312276e+00	1.937467e+01	GBA;MAN2C1;AGA
KEGG_2016	Endocytosis Homo sapiens hsa04144	16/259	2.814077e-02	1.209204e-01	0	0	1.759745e+00	6.283232e+00	ARF3;CSF1R;CAV3;SRC;ARPC1B;KIAA1033;PML;SNX3;PARD6B;CAPZB;HGS;DNAJC6;MDM2;FOLR3;RAB11FIP2;SPG20
KEGG_2016	Ubiquitin mediated proteolysis Homo sapiens hsa04120	10/137	2.825440e-02	1.209204e-01	0	0	2.099555e+00	7.488075e+00	SOCS3;MGRN1;MDM2;UBE4B;ANAPC5;UBE3B;VHL;PML;DDB2;CUL4B
KEGG_2016	Leukocyte transendothelial migration Homo sapiens hsa04670	9/118	2.845187e-02	1.209204e-01	0	0	2.200648e+00	7.833298e+00	VASP;MAPK11;MYL7;ITGAM;NCF1;ACTN3;PIK3CA;CLDN14;CLDN18
KEGG_2016	Amoebiasis Homo sapiens hsa05146	8/100	2.945724e-02	1.222893e-01	0	0	2.316425e+00	8.164972e+00	ITGAM;ACTN3;PIK3CA;ARG1;CXCL1;ADCY1;TNF;RELA
KEGG_2016	Type II diabetes mellitus Homo sapiens hsa04930	5/48	2.973308e-02	1.222893e-01	0	0	3.092573e+00	1.087193e+01	SOCS3;PIK3CA;IRS2;TNF;CACNA1G
KEGG_2016	Sphingolipid signaling pathway Homo sapiens hsa04071	9/120	3.124977e-02	1.264872e-01	0	0	2.160771e+00	7.488679e+00	SMPD2;MAPK11;MAP2K1;PIK3CA;BCL2;PPP2R5B;BAX;TNF;RELA
KEGG_2016	Cytokine-cytokine receptor interaction Homo sapiens hsa04060	16/265	3.371335e-02	1.339641e-01	0	0	1.716800e+00	5.819713e+00	IFNA4;CCL13;CSF1R;EDA;IFNA1;CCL21;FLT3;CXCL1;TNF;IL4;IL1A;TNFSF9;CCR8;FAS;TNFRSF4;CCR2
KEGG_2016	Pathways in cancer Homo sapiens hsa05200	22/397	3.414772e-02	1.339641e-01	0	0	1.570289e+00	5.302959e+00	CSF1R;CDKN1A;MAP2K1;FLT3;ZBTB16;KLK3;ADCY1;ADCY6;PML;RELA;SMO;PIK3CA;GNG5;DVL1;CDK2;GNB1;MDM2;BCL2;FAS;EP300;BAX;VHL
KEGG_2016	Amphetamine addiction Homo sapiens hsa05031	6/67	3.484253e-02	1.341865e-01	0	0	2.617184e+00	8.785667e+00	CAMK2B;ARC;CREB3L1;CAMK2A;CALML3;GRIN2D
KEGG_2016	Oocyte meiosis Homo sapiens hsa04114	9/123	3.579661e-02	1.341865e-01	0	0	2.103580e+00	7.004714e+00	CAMK2B;MAP2K1;CDK2;CAMK2A;PPP2R5B;CALML3;ANAPC5;ADCY1;ADCY6
KEGG_2016	Chagas disease (American trypanosomiasis) Homo sapiens hsa05142	8/104	3.601721e-02	1.341865e-01	0	0	2.219444e+00	7.376897e+00	GNAO1;C1QB;MAPK11;PIK3CA;FAS;ADCY1;TNF;RELA
KEGG_2016	Epithelial cell signaling in Helicobacter pylori infection Homo sapiens hsa05120	6/68	3.708626e-02	1.341865e-01	0	0	2.574837e+00	8.482823e+00	MAPK11;SRC;ATP6V1H;CXCL1;ATP6V0C;RELA
KEGG_2016	Tyrosine metabolism Homo sapiens hsa00350	4/35	3.731962e-02	1.341865e-01	0	0	3.429157e+00	1.127588e+01	HGD;TAT;TYR;ADH6
KEGG_2016	Amyotrophic lateral sclerosis (ALS) Homo sapiens hsa05014	5/51	3.736174e-02	1.341865e-01	0	0	2.890432e+00	9.501164e+00	MAPK11;BCL2;BAX;TNF;GRIN2D
KEGG_2016	ErbB signaling pathway Homo sapiens hsa04012	7/87	3.920135e-02	1.388381e-01	0	0	2.329126e+00	7.544143e+00	CAMK2B;CDKN1A;MAP2K1;PIK3CA;SRC;CAMK2A;MAP2K7
KEGG_2016	Hematopoietic cell lineage Homo sapiens hsa04640	7/88	4.131089e-02	1.404030e-01	0	0	2.300252e+00	7.330049e+00	IL4;IL1A;CSF1R;CD4;ITGAM;FLT3;TNF
KEGG_2016	GABAergic synapse Homo sapiens hsa04727	7/88	4.131089e-02	1.404030e-01	0	0	2.300252e+00	7.330049e+00	GNAO1;GNG5;SRC;GNB1;SLC6A13;ADCY1;ADCY6
KEGG_2016	Adipocytokine signaling pathway Homo sapiens hsa04920	6/70	4.184560e-02	1.404030e-01	0	0	2.494114e+00	7.915739e+00	SOCS3;PRKAB2;IRS2;AGRP;TNF;RELA
KEGG_2016	RIG-I-like receptor signaling pathway Homo sapiens hsa04622	6/70	4.184560e-02	1.404030e-01	0	0	2.494114e+00	7.915739e+00	IFNA4;MAPK11;IFNA1;TNF;IKBKE;RELA
KEGG_2016	Autoimmune thyroid disease Homo sapiens hsa05320	5/53	4.305520e-02	1.425854e-01	0	0	2.769710e+00	8.711491e+00	IL4;IFNA4;HLA-DMB;IFNA1;FAS
KEGG_2016	Dilated cardiomyopathy Homo sapiens hsa05414	7/90	4.574774e-02	1.495599e-01	0	0	2.244590e+00	6.923691e+00	CACNB2;ITGB4;SGCB;ITGA10;ADCY1;TNF;ADCY6
KEGG_2016	Allograft rejection Homo sapiens hsa05330	4/38	4.835501e-02	1.560826e-01	0	0	3.126097e+00	9.469527e+00	IL4;HLA-DMB;FAS;TNF
KEGG_2016	Non-alcoholic fatty liver disease (NAFLD) Homo sapiens hsa04932	10/151	4.958415e-02	1.563861e-01	0	0	1.889705e+00	5.676834e+00	SOCS3;IL1A;PRKAB2;PIK3CA;FAS;BAX;IRS2;SDHC;TNF;RELA
KEGG_2016	B cell receptor signaling pathway Homo sapiens hsa04662	6/73	4.967558e-02	1.563861e-01	0	0	2.382065e+00	7.151535e+00	MAP2K1;PIK3CA;NFATC1;LILRB3;FCGR2B;RELA
KEGG_2016	Arrhythmogenic right ventricular cardiomyopathy (ARVC) Homo sapiens hsa05412	6/74	5.247214e-02	1.607592e-01	0	0	2.346912e+00	6.917460e+00	CACNB2;ACTN3;ITGB4;SGCB;ITGA10;DSC2
KEGG_2016	Staphylococcus aureus infection Homo sapiens hsa05150	5/56	5.252148e-02	1.607592e-01	0	0	2.606379e+00	7.679781e+00	C1QB;ITGAM;HLA-DMB;MASP1;FCGR2B
KEGG_2016	NF-kappa B signaling pathway Homo sapiens hsa04064	7/93	5.295598e-02	1.607592e-01	0	0	2.165952e+00	6.364204e+00	CCL13;CCL21;BCL2;LY96;TNF;RELA;LAT
KEGG_2016	Phagosome Homo sapiens hsa04145	10/154	5.526236e-02	1.656713e-01	0	0	1.850046e+00	5.357111e+00	MSR1;MARCO;ITGAM;HLA-DMB;NCF1;HGS;ATP6V1H;FCGR2B;ATP6V0C;VAMP3
KEGG_2016	NOD-like receptor signaling pathway Homo sapiens hsa04621	5/57	5.592518e-02	1.656713e-01	0	0	2.556123e+00	7.371196e+00	MAPK11;TRIP6;CXCL1;TNF;RELA
KEGG_2016	Glutamatergic synapse Homo sapiens hsa04724	8/114	5.652316e-02	1.656713e-01	0	0	2.009015e+00	5.772110e+00	GNAO1;GNG5;GRIK5;GNB1;ADCY1;GRM1;ADCY6;GRIN2D
KEGG_2016	Graft-versus-host disease Homo sapiens hsa05332	4/41	6.099714e-02	1.747671e-01	0	0	2.872182e+00	8.033286e+00	IL1A;HLA-DMB;FAS;TNF
KEGG_2016	Bladder cancer Homo sapiens hsa05219	4/41	6.099714e-02	1.747671e-01	0	0	2.872182e+00	8.033286e+00	CDKN1A;MAP2K1;SRC;MDM2
KEGG_2016	Epstein-Barr virus infection Homo sapiens hsa05169	12/202	6.625628e-02	1.822603e-01	0	0	1.683211e+00	4.568613e+00	MAPK11;CDKN1A;PIK3CA;SHFM1;CDK2;MDM2;BCL2;EP300;MAP2K7;JAK3;GTF2E1;RELA
KEGG_2016	Toxoplasmosis Homo sapiens hsa05145	8/118	6.644975e-02	1.822603e-01	0	0	1.935556e+00	5.247890e+00	GNAO1;MAPK11;HLA-DMB;PIK3CA;BCL2;LY96;TNF;RELA
KEGG_2016	Thyroid hormone signaling pathway Homo sapiens hsa04919	8/118	6.644975e-02	1.822603e-01	0	0	1.935556e+00	5.247890e+00	MAP2K1;PIK3CA;SRC;MDM2;PLCE1;EP300;SLC16A2;ESR1
KEGG_2016	Progesterone-mediated oocyte maturation Homo sapiens hsa04914	7/98	6.647141e-02	1.822603e-01	0	0	2.046410e+00	5.547783e+00	MAPK11;MAP2K1;PIK3CA;CDK2;ANAPC5;ADCY1;ADCY6
KEGG_2016	Type I diabetes mellitus Homo sapiens hsa04940	4/43	7.030146e-02	1.907114e-01	0	0	2.724607e+00	7.233730e+00	IL1A;HLA-DMB;FAS;TNF
KEGG_2016	Ascorbate and aldarate metabolism Homo sapiens hsa00053	3/27	7.357893e-02	1.975013e-01	0	0	3.318621e+00	8.659598e+00	UGT2B11;RGN;UGT2B7
KEGG_2016	Retrograde endocannabinoid signaling Homo sapiens hsa04723	7/101	7.549117e-02	2.005234e-01	0	0	1.980789e+00	5.117843e+00	GNAO1;MAPK11;GNG5;GNB1;ADCY1;GRM1;ADCY6
KEGG_2016	Chemical carcinogenesis Homo sapiens hsa05204	6/82	7.823845e-02	2.056784e-01	0	0	2.098994e+00	5.348224e+00	SULT1A1;CYP2C9;UGT2B11;GSTT1;UGT2B7;ADH6
KEGG_2016	Hypertrophic cardiomyopathy (HCM) Homo sapiens hsa05410	6/83	8.188255e-02	2.130617e-01	0	0	2.071626e+00	5.184182e+00	CACNB2;PRKAB2;ITGB4;SGCB;ITGA10;TNF
KEGG_2016	Longevity regulating pathway - multiple species Homo sapiens hsa04213	5/64	8.320390e-02	2.143131e-01	0	0	2.252034e+00	5.599594e+00	PRKAB2;PIK3CA;IRS2;ADCY1;ADCY6
KEGG_2016	Pentose phosphate pathway Homo sapiens hsa00030	3/29	8.722019e-02	2.224115e-01	0	0	3.063024e+00	7.471694e+00	PRPS2;H6PD;RGN
KEGG_2016	Nucleotide excision repair Homo sapiens hsa03420	4/47	9.093525e-02	2.295890e-01	0	0	2.470641e+00	5.923628e+00	RPA2;XPC;DDB2;CUL4B
KEGG_2016	Regulation of actin cytoskeleton Homo sapiens hsa04810	12/214	9.223423e-02	2.305856e-01	0	0	1.582222e+00	3.771107e+00	CYFIP2;MAP2K1;MYL7;ITGAM;ACTN3;ABI2;PIK3CA;ITGB4;SRC;ARPC1B;ITGA10;CFL1
KEGG_2016	Galactose metabolism Homo sapiens hsa00052	3/30	9.441117e-02	2.337364e-01	0	0	2.949425e+00	6.960927e+00	AKR1B10;LALBA;GALK1
KEGG_2016	RNA transport Homo sapiens hsa03013	10/172	9.816359e-02	2.406896e-01	0	0	1.642938e+00	3.813457e+00	CYFIP2;EIF4A2;RANBP2;NXF1;NUP155;EIF1AX;THOC1;EIF2B1;EIF4G3;EIF4B
KEGG_2016	Gap junction Homo sapiens hsa04540	6/88	1.014861e-01	2.449830e-01	0	0	1.944801e+00	4.449380e+00	MAP2K1;SRC;HTR2C;ADCY1;GRM1;ADCY6
KEGG_2016	Asthma Homo sapiens hsa05310	3/31	1.018361e-01	2.449830e-01	0	0	2.843941e+00	6.496673e+00	IL4;HLA-DMB;TNF
KEGG_2016	Insulin resistance Homo sapiens hsa04931	7/109	1.028674e-01	2.451513e-01	0	0	1.824672e+00	4.149877e+00	SOCS3;PRKAB2;PIK3CA;CREB3L1;IRS2;TNF;RELA
KEGG_2016	Drug metabolism - cytochrome P450 Homo sapiens hsa00982	5/69	1.062780e-01	2.509343e-01	0	0	2.075553e+00	4.652761e+00	CYP2C9;UGT2B11;GSTT1;UGT2B7;ADH6
KEGG_2016	Rheumatoid arthritis Homo sapiens hsa05323	6/90	1.099592e-01	2.572439e-01	0	0	1.898298e+00	4.190771e+00	IL1A;HLA-DMB;ATP6V1H;CXCL1;TNF;ATP6V0C
KEGG_2016	Morphine addiction Homo sapiens hsa05032	6/91	1.143274e-01	2.650316e-01	0	0	1.875868e+00	4.068174e+00	GNAO1;GNG5;PDE1A;GNB1;ADCY1;ADCY6
KEGG_2016	Carbon metabolism Homo sapiens hsa01200	7/113	1.183267e-01	2.718315e-01	0	0	1.755450e+00	3.746667e+00	PRPS2;H6PD;RGN;MTHFR;SDHC;ENO1;ACADS
KEGG_2016	Nitrogen metabolism Homo sapiens hsa00910	2/17	1.256312e-01	2.835274e-01	0	0	3.536639e+00	7.336419e+00	CA5A;CA4
